

Danny Abbadi



Tank Abbott



Shamil Abdurakhimov



Papy  Abedi 



Ricardo Abreu



Ryan Ackerman

Scott Adams



Sam Adkins
Nick Agallar
Marcello Aguiar



Jessica Aguilar



Omari Akhmedov



Yoshihiro Akiyama



Mostapha Al Turk



Razak Al-Hassan



John Albert



Wes Albritton



Alexandra Albu



Deiveson Alcantara



Ildemar Alcantara



Iuri Alcantara



Alfonso Alcarez



Gilbert Aldana



Irene Aldana



Jose Aldo



JJ Aldrich



Jim Alers



John Alessio



Houston Alexander



Marcio  Alexandre



Royce Alger



Sultan Aliev



Arnold Allen



Benny Alloway



Ericka Almeida



Ricardo Almeida



Thomas Almeida



Eddie Alvarez



Sean Alvarez



Amilcar Alves



Thiago Alves



Warlley Alves



Sam Alvey



Adlan Amagov



Makwan Amirkhani



Matt Andersen



Andy Anderson



Corey Anderson



Lowell Anderson



Alex Andrade



Jessica Andrade



Viscardi Andrade



Jermaine Andre



Dylan Andrews



Reese Andy



Yoji Anjo



Nina Ansaroff



Gadzhimurad Antigu...




Wang Anying



Shinsho Anzai



Romie Aram



Felipe Arantes



Igor Araujo



Andrei Arlovski



Akbarh Arreola



Matt Arroyo



Cesar Arzamendia



Tony Asam



Cyril Asker



Scott Askham



Junior Assuncao



Raphael Assuncao



Rich Attonito



Olivier Aubin-Merc...




Pat Audinwood



Leonardo Augusto L...




Marcus Aurelio



Chris Avila



Jessin Ayari



Niklas Backstrom



Seth Baczynski



Ryan Bader



Izabela Badurek



Ali Bagautinov



Mehdi Baghdad



Siyar Bahadurzada



Shamar Bailey



Scott Baker



Oluwale Bamgbose



Marcin Bandel



Tae Hyun Bang



Antonio Banuelos



Renan Barao



Bryan Barberena



Edson  Barboza



Carlos Baretto



Luke Barnatt



Josh Barnett



David Baron



Phil Baroni



Dan Barrera



Alexandre Barros



Francimar Barroso



Pat Barry



Enrique Barzola



Stephen Bass



Shayna Baszler



Chris Beal



Johnny Bedford



Mirsad Bektic



Alan Belcher



Vitor Belfort



Joey Beltran



Marco Beltran



Joseph Benavidez



Dave Beneteau



Gabriel Benitez



Lance Benoist



Ryan Benoit



Steve Berger



Keith Berish



Dennis Bermudez



Dave Berry



Dieusel Berto



Allen Berube



Scott Bessac



Magomed Bibulatov



David Bielkheden



Anthony Birchak



Michael Bisping



Amaury Bitteti



Jan Blachowicz



Jason Black



Brad Blackburn



Tom Blackledge


